Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	0.94	новый	25.5*21.7*17 см		1 год	производителем	10-90 *С	0.75				включения, уровня воды, температуры	1	2	1.7		нержавеющая сталь		Да	Да	Да		Да			2150						новый		кнопка на корпусе		Китай		ТЭН	Да		белый	отсутствует		отсутствует
	1.1	новый			2 года	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	0.8	новый	23*18*18 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	2		металл		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			нержавеющая сталь	отсутствует		отсутствует
	0.295	новый	12.3*14*12.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	0.5		пластик		Да	Да	Да		Да			500						новый				Россия		закрытая спираль	Да		салатовый	отсутствует		отсутствует
	1.4	новый	27*19.5*23 см		2 года	производителем	40-100 *С	0.9				включения, уровня воды, температуры	1	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да			Китай		диск	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.06		26.5*16*22 см		1 год	производителем	40-90 *С	1			Да	включения, температуры	5	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный		Да	отсутствует
Да	1.1		23.4*16.3*21.8 см		1 год	производителем	35-100 *С	0.65			Да	включения, уровня воды, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200	Да	Да		Да	Да	новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	серый	отсутствует	Да	отсутствует
	1	новый	28.4*19.9*16.9 см		2 года	производителем	40-100 *С	0.75				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да		Да	2400						новый	Да	кнопка на корпусе		Китай	Да	диск	Да	снижения уровня шума	черный			
	1.08		23.5*18.5*15 см		1 год	производителем	100 *С	0.73				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Китай		закрытая спираль	Да		гранит	синий		отсутствует
	1.02		24.5*22*17 см		3 года	производителем	100-100 *С	0.75			Да	включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	1.03	новый	24.5*20*20 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.8		стекло		Да	Да	Да					1800						новый		нажатие		Китай		диск			черный	отсутствует		отсутствует
	1.28		22*15*22 см		1 год	производителем	40-100 *С	0.71				включения, уровня воды	1	1	1.7		металл/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		стекло			отсутствует
	1	новый	25.5*21.7*17 см		1 год	производителем	10 *С	0.75				включения, уровня воды, температуры	1	2	1.7		пластик/ металл		Да	Да	Да		Да			2200		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	голубой	отсутствует		отсутствует
	1.04	новый	15.9*21.4*25.5 см		1 год	производителем	40-100 *С	0.7			Да	включения, температуры	4	1	1.7		нержавеющая сталь/ пластик		Да	Да			Да			2200		Да		Да		новый	Да	нажатие		Китай		ТЭН	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.03	новый	24.5*20*20 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.8		стекло		Да	Да	Да				Да	1800						новый		нажатие		Китай		диск			белый	голубой		отсутствует
	0.854	новый	25.3*17.5*21 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.6		сталь/ пластик		Да	Да	Да					1600						новый		нажатие		Китай		диск			черный/ белый	отсутствует		отсутствует
	1.06		26.5*16*22 см		1 год	производителем	40-90 *С	1			Да	включения, температуры	5	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	коричневый		Да	отсутствует
	0.92		22*16*23 см		1 год	производителем	40-100 *С	0.8				включения, уровня воды	1	1	1.8		пластик/ стекло		Да				Да		Да	1500						новый		нажатие		Китай		закрытая спираль			черный	белый		отсутствует
	1	новый	21.5*20.4*14.8 см		1 год	производителем	100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый				Китай		скрытый нагревательный элемент			черный			
	0.99		24*19.5*19.5 см		1 год	производителем	10-100 *С	1					1		1.8		стекло/ пластик		Да	Да	Да		Да			1500										Китай		закрытая спираль			белый			
	1.25		24.5*17*24.2 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		закрытая спираль	Да		черный	голубой	Да	отсутствует
	1		22.3*21.5*15.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да			Да			2100						новый		кнопка на корпусе		Китай		диск	Да		розовый	отсутствует		отсутствует
	0.75	новый	25.5*16.5*20.5 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.8		сталь/ пластик		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск			голубой	отсутствует		отсутствует
	1.1		26.8*16*22.2 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да		Да					1800								кнопка на корпусе		Китай		диск	Да		серо-голубой	отсутствует		отсутствует
	0.99	новый	24*19*19 см		1 год	производителем	10-100 *С	1				уровня воды	1	1	1.8		стекло/ пластик		Да	Да	Да		Да		Да	1500						новый		нажатие		Китай		закрытая спираль			зеленый			отсутствует
	1.32		25.7*22.8*22.4 см		1 год	производителем	70-100 *С	0.7				включения, температуры	4	1	1.7		стекло/ пластик/ нержавеющая сталь		Да	Да	Да				Да	2200		Да					Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	коралловый			отсутствует
	1.02		19*22*23 см		2 года	производителем	35-100 *С	0.73	Да	Да		включения, уровня воды, температуры	15	1	1.8		нержавеющая сталь		Да	Да	Да		Да		Да	2200		Да		Да	Да	новый		полностью съемная		Китай	Да	ТЭН	Да	заваривание чая, поддержание температуры, снижения уровня шума	черный	разноцветный	Да	отсутствует
	0.8		21*22*15 см		1 год	производителем	100 *С	0.8				включения	1	1	1.5		металл		Да	Да	Да					1350								кнопка на корпусе		Китай		закрытая спираль	Да		серебристый	отсутствует		отсутствует
	1	новый	24*18.5*20 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да			Да		Да	2200						новый		полностью съемная		Китай		закрытая спираль	Да		бежевый	голубой		отсутствует
	0.63	новый	24*22*15.8 см		1 год	производителем	100 *С					включения	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			нержавеющая сталь/ черный	отсутствует		отсутствует
	1.7		27.2*20.3*24.1 см		3 года	производителем	50-100 *С	0.7				включения, уровня воды, температуры	1		1.5		металл		Да							1500							Да			Китай		ТЭН			красный			
	0.932	новый	22.5*18.5*18.5 см		1 год	производителем	10-95 *С	0.5				включения	1	2	1.8		пластик/ нержавеющая сталь		Да	Да	Да		Да			220						новый		кнопка на корпусе		Китай		закрытая спираль			бежевый			
	1		21*22*21 см		1 год	производителем	100 *С	0.7			Да	включения, уровня воды	1	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	серо-голубой	синий	Да	отсутствует
	1.2		15.3*25.7*21.5 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	5	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да					2200		Да		Да			Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	черный	отсутствует		отсутствует
	1.06		25.1*21.5*15.5 см		3 года	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	7	2	1.5		пластик/ нержавеющая сталь		Да	Да	Да	Да				2200		Да		Да	Да	новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	черный		Да	отсутствует
	1.22		25.68*22.2*14.45 см		2 года	производителем	100 *С	0.7			Да	включения, уровня воды, температуры	13	1	1.7		стекло/ пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.92		23.7*24.8*15.6 см		1 год	производителем	100-100 *С	0.7				включения	1	1	1		керамика		Да	Да	Да		Да			1630								полностью съемная		Китай		ТЭН			белый/ синий			отсутствует
	0.88	новый	23*17*17 см		1 год	производителем	100-100 *С	0.6				включения, уровня воды	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск	Да		белый	отсутствует		отсутствует
	1		26*17.5*21.5 см		2 года	производителем	40-100 *С	1		Да	Да	включения, уровня воды, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	1700		Да		Да			Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	белый		Да	отсутствует
	1.5	новый	28*15*22 см		1 год	производителем	100-100 *С	0.95				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	1.15	новый	24*21*15 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1		1.8		стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		белый	синий		отсутствует
	0.94		24*22.5*15.6 см		1 год	производителем	100-100 *С	0.7				включения	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200								полностью съемная		Китай		ТЭН	Да		белый/ дерево			отсутствует
	1.45		24*15*15 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды, температуры	7	1	1.7		стекло/ пластик		Да	Да	Да					2200		Да		Да				кнопка на корпусе		Китай		диск	Да		серебристый	отсутствует		отсутствует
	1.1		26.8*16*22.2 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да		Да					1800								кнопка на корпусе		Китай		диск	Да		серо-голубой	отсутствует		отсутствует
Да	1.1		23.4*16.3*21.8 см		1 год	производителем	35-100 *С	0.65			Да	включения, уровня воды, температуры	5	2	1.7	Да	пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да	Да	Да	Да	новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	белый/ серебристый	отсутствует	Да	отсутствует
	1.15		23.9*22.2*15.8 см		3 года	производителем	50-100 *С	0.7			Да	включения, уровня воды	5	1	1.7		нержавеющая сталь/ стекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	нержавеющая сталь			отсутствует
	0.86	новый	15.5*22.5*26 см		1 год	производителем	100 *С	0.7				включения, уровня воды, температуры	1		1.7		нержавеющая сталь		Да	Да			Да			2150						новый		полностью съемная		Китай		диск			серый			отсутствует
	1.13	новый	27.7*20.2*21.2 см		2 года	производителем	100 *С	1.2				включения, уровня воды	1	1	1.7		пластик		Да	Да			Да			2400						новый		кнопка на корпусе		Китай		ТЭН	Да		белый	отсутствует		отсутствует
	0.78		20.5*23*16 см		1 год	производителем	20-100 *С	0.7				включения, уровня воды	1		1.2		стекло		Да	Да			Да			1300										Китай		закрытая спираль			белый/ серебристый/ прозрачный			отсутствует
	1		22.5*24.2*15.2 см		1 год	производителем	100 *С	0.7				включения	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200								полностью съемная		Китай		диск	Да		бежевый	отсутствует		отсутствует
	0.7		17*16.5*11 см		3 года	производителем	100-100 *С	0.75		Да		включения, уровня воды	1	1	0.5		металл/ пластик		Да				Да			1100						новый		ручное		Китай		диск	Да		серебристый			отсутствует
	0.9		24*21.2*15 см		1 год	производителем	100-100 *С	0.7		Да		включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		белый	отсутствует		отсутствует
	1.08	новый	21.6*21.7*18.5 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		термостойкий пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		белый	синий		отсутствует
	1.03		24.4*21.6*15.1 см		2 года	производителем	100 *С	0.7				включения, уровня воды	1	1	1.8		металл/ пластик/ стекло		Да		Да		Да			2200						новый		ручное		Китай		закрытая спираль	Да		черный/ нержавеющая сталь	голубой	Да	отсутствует
	1.2		31*22*22 см		1 год	производителем	60-95 *С	1		Да		включения, уровня воды	1	1	1.7		пластик/ металл		Да	Да	Да		Да			2000						новый		полностью съемная		Китай		закрытая спираль	Да		голубой	отсутствует		отсутствует
Да	1.1		22.5*20*15.5 см		1 год	производителем	40-100 *С	0.75			Да	включения, уровня воды, температуры	5	2	2	Да	пластик/ стекло		Да	Да	Да	Да	Да		Да	2200	Да	Да	Да	Да	Да	новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	белый	разноцветный		Салют
	1	новый	21*19*19 см		2 года	производителем	20-100 *С	0.8				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		ТЭН	Да		молочный жемчуг	отсутствует		отсутствует
	1.7	новый	21*45*26 см		1 год	производителем	100 *С	0.7	Да			включения	1	1	2		пластик/ стекло		Да	Да	Да				Да	1500						новый		нажатие		Китай		диск	Да	заваривание чая, поддержание температуры	черный	голубой		отсутствует
	1.04		26.2*21.6*15.5 см		1 год	производителем	40-100 *С	0.6			Да	включения, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да			Да	полностью съемная		Китай		ТЭН		поддержание температуры	черный/ серебристый		Да	отсутствует
	1.29		27.6*21.7*16.9 см		1 год	производителем	40-100 *С	0.7			Да	включения, температуры	7	1	1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200		Да					Да	полностью съемная		Китай		ТЭН		поддержание температуры	серебристый/ черный		Да	отсутствует
	1.163	новый	25.5*17*22 см		1 год	производителем	10-100 *С	1				включения, уровня воды	1	2	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль			белый	отсутствует		отсутствует
	1.2		25.8*21*18 см		1 год	производителем	40-100 *С	0.75		Да		включения, уровня воды	5	2	1.7		пластик/ стекло		Да	Да	Да		Да			2200		Да		Да		новый		полностью съемная		Китай		диск	Да	поддержание температуры	зеленый	отсутствует	Да	отсутствует
	1.4	новый	25.5*17.5*21.5 см		2 года	производителем	40-100 *С	0.8	Да		Да	включения, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай	Да	скрытый нагревательный элемент	Да	заваривание чая, поддержание температуры, снижения уровня шума	черный	отсутствует	Да	отсутствует
	1	новый	21.5*17.5*19.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик/ металл		Да				Да			2200						новый		нажатие		Китай		закрытая спираль	Да		сиреневый	отсутствует		отсутствует
	0.8	новый			1 год	производителем	100 *С	0.72				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск	Да		красный	отсутствует		отсутствует
	1	новый	25*22.7*15.6 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		зеленое яблоко			
	0.84		24*19*19 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1		1.8		нержавеющая сталь/ стекло		Да	Да	Да		Да			2000						новый				Китай		диск			черный/ нержавеющая сталь			отсутствует
	1.15		26.7*16*26.7 см		1 год	производителем	40-100 *С	0.7		Да	Да	включения, уровня воды, температуры	7	2	1.7		металл/ пластик		Да	Да	Да					2200		Да		Да		новый	Да	нажатие		Китай		диск		поддержание температуры	белый		Да	отсутствует
	1.2		24.8*21.5*16.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		серый	отсутствует		отсутствует
	2.55	новый	26*45*21 см		1 год	производителем	60-85 *С	0.7	Да		Да	включения, температуры	2	1	2		стекло/ пластик		Да	Да	Да				Да	1500		Да		Да		новый		нажатие		Китай		диск		заваривание чая, поддержание температуры	черный/ прозрачный	голубой	Да	отсутствует
	1.2		15.3*25.7*21.5 см		1 год	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	5	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да					2200		Да		Да			Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	белый	отсутствует		отсутствует
	1.25		26.1*23.1*15.5 см		1 год	производителем	40-100 *С	0.7	Да		Да	включения, уровня воды, температуры	5	1	1.7		нержавеющая сталь/ стекло/ пластик		Да	Да	Да		Да		Да	2200	Да	Да		Да	Да		Да	полностью съемная		Китай	Да	диск	Да	заваривание чая, поддержание температуры, снижения уровня шума	черный	синий	Да	отсутствует
	0.8	новый	23.5*23*15.8 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды	1	1	1.7		пластик		Да				Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	1.1	новый	23*24*15 см		1 год	производителем	100 *С	0.8				включения, уровня воды	1	1	1.5		нержавеющая сталь		Да	Да	Да		Да			2150						новый		кнопка на корпусе		Китай	Да	закрытая спираль	Да	снижения уровня шума	черный			
	1		20.7*14.6*20.2 см		1 год	производителем	100-100 *С	0.72				включения, уровня воды	1	2	1		пластик/ нержавеющая сталь		Да	Да			Да			1000						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	1		25*22.7*15.6 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	1.2	новый	27.5*21.6*15 см		1 год	производителем	100-100 *С	0.8		Да		включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый		нажатие		Китай		закрытая спираль	Да	поддержание температуры	черный			отсутствует
Да	1.1		23.4*16.3*21.8 см		1 год	производителем	35-100 *С	0.65			Да	включения, уровня воды, температуры	5	2	1.7	Да	пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да	Да	Да	Да	новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	черный/ серебристый	отсутствует	Да	отсутствует
	1		20.7*14.6*20.2 см		1 год	производителем	100-100 *С	0.72				включения, уровня воды	1	2	1		пластик/ нержавеющая сталь		Да	Да			Да			1000						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
	1.2	новый			1 год	производителем	40-100 *С					включения, уровня воды, температуры	7	2	1.5		нержавеющая сталь/ пластик		Да	Да	Да		Да			2000		Да		Да		новый	Да	нажатие		Китай		диск	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.4	новый	20.5*20*20 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		термостойкое стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		диск	Да		белый/ серебристый хром	синий		отсутствует
	1.1		22.5*18*14.5 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1	1	1.8		стекло		Да	Да	Да		Да		Да	1800						новый		кнопка на корпусе		Китай		закрытая спираль	Да		прозрачный/ черный	голубой		отсутствует
	1.2		24.8*21.5*16.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		коричневый	отсутствует		отсутствует
	1.2	новый			1 год	производителем	40-100 *С					включения, уровня воды, температуры	7	2	1.5		нержавеющая сталь/ пластик		Да	Да	Да		Да			2000		Да		Да		новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	белый	отсутствует	Да	отсутствует
	1.22	новый	25*16*16 см		1 год	производителем	40-100 *С	0.8			Да	включения, уровня воды, температуры	6	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2000		Да		Да		новый	Да			Китай		диск	Да	поддержание температуры	темно-серый	отсутствует	Да	
	1.1	новый	25.8*22.2*25.8 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль	Да		бронзовый	отсутствует		отсутствует
	1.26		24*18*21.2 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды	1	1	1.7		стекло/ пластик/ нержавеющая сталь		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		красный/ черный/ нержавеющая сталь	голубой		отсутствует
	0.8	новый	22*19.5*19.5 см		2 года	производителем	100-100 *С	0.8				включения, уровня воды, температуры	1	1	1.7		сталь		Да	Да	Да					2200						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		бежевый			
	0.8	новый			1 год	производителем	100 *С	0.78				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		диск	Да		стальной	синий		отсутствует
	1.1		24*21.6*15.8 см		1 год	производителем	40-100 *С	0.7			Да	включения, температуры	7	1	1.7		стекло/ пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	серебристый/ черный/ прозрачный		Да	отсутствует
	0.8		23*18*18.6 см		1 год	производителем	100 *С	0.7					1	1	2		металл/ пластик						Да			1800								кнопка на корпусе		Китай		закрытая спираль	Да		серебристый	отсутствует		отсутствует
	1	новый	22.5*17.5*19.5 см		2 года	производителем	20-50 *С	0.7			Да	включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		нажатие		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	1.1	новый	23.5*22*15 см		2 года	производителем	100-100 *С	0.75				включения, уровня воды, температуры	1	2	1.7		пластик		Да	Да						2200						новый	Да	нажатие		Китай		диск	Да		белый	отсутствует		отсутствует
	3.56		25.3*43.5*27 см		1 год	производителем	5-100 *С	0.7	Да			включения, уровня воды, температуры	1	1	1.7		стекло/ нержавеющая сталь/ пластик		Да	Да	Да				Да	2200							Да	кнопка на корпусе		Китай		ТЭН		заваривание чая, поддержание температуры	черный/ серебристый		Да	отсутствует
	1.2		26*23*25 см		1 год	производителем	100 *С	0.8				уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2400						новый		нажатие		Китай		закрытая спираль	Да		белый			отсутствует
	1	новый	20*20*15.2 см		1 год	производителем	100 *С	1				включения, уровня воды	1	1	0.8		пластик		Да	Да	Да		Да			1400						новый		нажатие		Китай		ТЭН	Да		кремовый			отсутствует
	0.6	новый	25*21*16.5 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	2.2		пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		закрытая спираль	Да		стальной/ черный	отсутствует		
	0.2	новый	14*12.3*12.3 см		1 год	производителем	98 *С	0.7				включения, уровня воды	1	1	0.5		пластик		Да	Да						500						новый				Китай		ТЭН	Да		белый/ синий	отсутствует		отсутствует
	1.12	новый	24.7*22.2*15.8 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		стекло/ нержавеющая сталь		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		скрытый нагревательный элемент	Да		белый/ серебристый/ черный	синий		отсутствует
	1.4	новый	24.9*22.4*17.5 см		1 год	производителем	100-100 *С	0.8				уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		закрытая спираль	Да		зеленый	отсутствует		отсутствует
	0.89	новый	22*18*20 см		1 год	производителем	10-100 *С	1				включения, уровня воды	1	2	1.6		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	1	новый	19.5*19.5*22 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды, температуры	1	1	1.7		ПВХ/ пластик		Да	Да	Да					2200						новый		полностью съемная		Китай		ТЭН	Да		молочный жемчуг	отсутствует		отсутствует
	1	новый	22.5*17.5*21.5 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200		Да				новый		кнопка на корпусе		Китай		ТЭН	Да		серебристый	отсутствует		отсутствует
	1	новый	21.8*15.4*23 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды	1	1	1.7		металл		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	0.9		22.5*16*22.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		металл		Да	Да	Да		Да		Да	2200								нажатие		Китай		диск	Да		серебристый	синий		отсутствует
	3.49		25.3*43.5*27 см		1 год	производителем	5-100 *С	0.7	Да			включения, уровня воды, температуры	1	1	1.7		стекло/ нержавеющая сталь/ пластик		Да	Да	Да				Да	2200							Да	кнопка на корпусе		Китай		ТЭН		заваривание чая, поддержание температуры	черный/ серебристый		Да	отсутствует
	0.83	новый	23*21*15.5 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1		1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	1		25.2*22.6*15.4 см		1 год	производителем	100 *С	0.7		Да		включения, уровня воды	1	1	1.7		металл/ пластик		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		нержавеющая сталь	голубой		отсутствует
	2.07		23.5*21.5*25.5 см		1 год	производителем	10-100 *С	1				включения	1		1.5		фарфор		Да	Да	Да		Да			1500										Китай		закрытая спираль			белый			
	1		25.2*18*21.6 см		1 год	производителем	40-100 *С	1				включения, температуры	13	1	1.7		пластик		Да	Да	Да		Да			2200		Да		Да				кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.14	новый	26.2*17.8*22.6 см		2 года	производителем	40-100 *С	1.2				включения, уровня воды	1	1	1.25		металл		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	1.08		21*23*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды	1	1	1.7		термопластик		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск	Да		белый	отсутствует		отсутствует
