Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	2.05	новый	24.5*22*17.8 см		1 год	производителем	40-100 *С	0.8	Да		Да	включения, уровня воды, температуры	6		1.7		термостекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	полностью съемная		Китай		закрытая спираль	Да	заваривание чая, поддержание температуры	стекло	голубой	Да	отсутствует
	0.625	новый	24.2*17.8*14.8 см		1 год	производителем	80-100 *С	0.75	Да			включения, уровня воды	1		1.8		нержавеющая сталь		Да	Да	Да		Да			2000						новый		кнопка на корпусе		Китай		ТЭН		заваривание чая	черный			отсутствует
	1		20*20*15.2 см		1 год	производителем						включения, уровня воды			0.8		пластик		Да	Да	Да					1400										Китай		ТЭН	Да		красный			
	1.1		26.3*22.5*25.5 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да					2400								кнопка на корпусе		Китай		закрытая спираль	Да		бежевый			отсутствует
	0.8	новый	23*22.8*15 см		1 год	производителем	100 *С	0.6				включения	1	1	1.8		пластик/ металл		Да	Да	Да		Да			1800						новый		нажатие		Китай		диск			черный/ нержавеющая сталь	отсутствует		отсутствует
	1.09		23.5*22*13 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	2	1.8		пластик/ стекло		Да	Да			Да		Да	1500						новый		нажатие		Китай		диск			черный	голубой		отсутствует
	1.2		27.3*15.5*24.2 см		1 год	производителем	30-100 *С	1.2				включения, температуры	1	2	1.7		металл/ пластик		Да	Да	Да					1800		Да			Да	новый	Да	кнопка на корпусе		Китай		диск		поддержание температуры	белый		Да	отсутствует
	0.77	новый	18*20*15 см		1 год	производителем	100 *С	0.6				включения, уровня воды	1	1	1		пластик		Да	Да						1300						новый		нажатие		Китай		диск	Да		белый/ розовый	отсутствует		отсутствует
	1	новый	24*22*15 см		1 год	производителем	99-100 *С	0.65				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		диск	Да		темно-серый			отсутствует
	1.1	новый	27*21*14 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да	Да		Да			3000						новый	Да	нажатие		Китай		закрытая спираль	Да		белый			отсутствует
	0.9	новый	24.5*21.8*14.2 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды	1	2	1.5		пластик/ нержавеющая сталь		Да	Да	Да		Да			1500						новый		кнопка на корпусе		Китай		диск	Да		серый	отсутствует		отсутствует
	2.55	новый	26*45*21 см		1 год	производителем	60-85 *С	0.7	Да	Да	Да	включения	2		2		стекло/ пластик		Да	Да	Да				Да	1500		Да		Да		новый	Да	кнопка на корпусе		Китай		диск		заваривание чая, поддержание температуры	черный/ прозрачный	фиолетовый	Да	
	1.75	новый	27*21*17.5 см		1 год	производителем	60-100 *С	0.7	Да	Да	Да	включения, уровня воды, температуры	5	1	1.7		стекло		Да	Да	Да		Да			2400		Да				новый		полностью съемная		Китай		закрытая спираль	Да	заваривание чая, поддержание температуры	серебристый	отсутствует		отсутствует
	1.183		25*17.7*23.9 см		2 года	производителем	100 *С					включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	1.755	новый	23.5*23.5*27 см		3 года	производителем	100 *С	1				включения	1		2		Металл		Да	Да	Да		Да			2200						новый		полностью съемная		Турция		ТЭН	Да		антрацит	отсутствует		отсутствует
	1		26*23*23 см		1 год	производителем	100-40 *С	0.7				включения, уровня воды	1		1.7		металл		Да	Да	Да		Да			2000										Китай		закрытая спираль	Да		черный			
	1.174		23.8*15*22.4 см		2 года	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Китай		скрытый нагревательный элемент	Да		белый			отсутствует
	0.95	новый	23.7*21.7*15.6 см		1 год	производителем	100 *С	0.65				включения, уровня воды	1		1.7		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		закрытая спираль	Да		серый	синий		отсутствует
	1.16	новый	21.5*22*14.5 см		1 год	производителем	100-20 *С	0.8				включения, уровня воды	1		1.7		термостойкое стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		закрытая спираль	Да		стекло	голубой		
	0.9	новый	22*21*15.5 см		1 год	производителем	100 *С					включения, уровня воды	1	1	1.8		стекло/ пластик		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		диск			прозрачный/ черный	синий		отсутствует
	1.05		25.7*22.7*15 см		1 год							уровня воды			1.7		пластик		Да	Да	Да					2200										Китай		диск	Да		коричневый			
	1	новый	19*17*18 см		2 года	производителем	100 *С	0.9				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый		полностью съемная		Китай	Да	диск	Да	снижения уровня шума	нержавеющая сталь/ черный	отсутствует		отсутствует
	0.96		25*23*13.5 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	2	1.7		пластик		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		диск	Да		светло-бежевый			отсутствует
	0.8		24*15*15 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.8		сталь		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		диск	Да		стальной	отсутствует		отсутствует
	1		24.24*23.25*16.54 см		1 год	продавцом	40-100 *С	75			Да	включения, уровня воды	1	1	1.7		боросиликатное стекло		Да	Да	Да		Да		Да	2200						новый		ручное		Китай		закрытая спираль	Да		серый	желтый		отсутствует
	2.2	новый	27*23*20 см		2 года	производителем	40-100 *С	0.7		Да	Да	включения, уровня воды, температуры	5	1	1.7		пластик/ металл		Да	Да	Да		Да			3000		Да		Да		новый	Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	белый	отсутствует		отсутствует
	1.6		24.8*22.6*17.1 см		1 год	производителем						включения, уровня воды			1.7		нержавеющая сталь		Да	Да	Да					2400										Китай		диск	Да		хромированный			
	1.6	новый	24.6*17.1*22.3 см		1 год	производителем	40-100 *С	1				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2400						новый		кнопка на корпусе		Китай		ТЭН	Да		бежевый			
	1.4	новый	28.5*14.5*21.5 см		1 год	производителем	40-100 *С	0.7	Да		Да	включения, температуры	4	2	1.6		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		диск		заваривание чая, поддержание температуры	черный	отсутствует	Да	отсутствует
	1.26	новый	27*18*18 см		2 года	производителем	40-100 *С	1				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2400						новый		нажатие		Китай	Да	диск	Да	снижения уровня шума	белый			отсутствует
	0.61		23.5*15.7*22 см		1 год	продавцом	40-100 *С					включения		1	1.8		нержавеющая сталь		Да	Да	Да		Да			1500								нажатие		Китай		диск			черный	отсутствует		отсутствует
	1.12	новый	24.4*15.9*22 см		1 год	производителем	100 *С	0.8				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		прозрачный	синий		
	1.13	новый	26.4*23.4*15.9 см		2 года	производителем	30-100 *С	0.75				включения, уровня воды	1	1	1.8		металл/ стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		атласное серебро			отсутствует
	1	новый	20*20*15.2 см		1 год	производителем	100 *С	1				включения, уровня воды	1	1	0.8		пластик		Да	Да	Да		Да			1400						новый		нажатие		Китай		ТЭН	Да		черный			отсутствует
	2.1	новый	20.3*24.1*27.2 см		3 года	производителем	50-100 *С	1		Да	Да	включения, уровня воды, температуры	6	2	1.5		алюминий		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	кремовый	отсутствует		отсутствует
	1.4		25.4*21.6*16.2 см		1 год	производителем	50-100 *С	1	Да		Да	включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый	Да	кнопка на корпусе		США	Да	диск	Да	заваривание чая, поддержание температуры, снижения уровня шума	белый			отсутствует
	0.9		24*14.5*22 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		полимер/ пластик		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Россия		закрытая спираль	Да		черный/ голубой			отсутствует
	0.694	новый	21.5*16*21.5 см		1 год	производителем	100 *С	0.7				включения	1	2	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск	Да		металлик/ черный	отсутствует		
	0.62		23.2*15*22 см		1 год	продавцом	40-100 *С	0.8				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			черный/ серебристый	отсутствует		отсутствует
	2.1	новый	20.3*24.1*27.2 см		3 года	производителем	50-100 *С	1		Да	Да	включения, уровня воды, температуры	7	2	1.5		алюминий		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	черный	отсутствует		отсутствует
	1.8		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		ТЭН	Да	поддержание температуры	голубой			
	0.931	новый	26*22.2*15.5 см		2 года	производителем	30-100 *С	0.75		Да		включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный матовый			отсутствует
	1.4	новый	27*16*16 см		2 года	производителем	40-100 *С	0.7				включения, уровня воды, температуры	5	2	1.7		металл/ пластик		Да	Да	Да		Да			1800		Да		Да		новый	Да	нажатие		Китай	Да	диск	Да	поддержание температуры, снижения уровня шума	черный		Да	отсутствует
	0.63		23.5*14.5*22 см		1 год	продавцом	40-100 *С	0.8				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			черный/ серебристый	отсутствует		отсутствует
	1.6		24.8*22.6*17.1 см		1 год	производителем						включения, уровня воды			1.7		нержавеющая сталь		Да	Да	Да					2400										Китай		ТЭН	Да		матовый белый			
	0.62		23.5*15.5*21.6 см		1 год	продавцом	40-100 *С	0.8				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			черный/ серебристый	отсутствует		отсутствует
	2.1	новый	20.3*24.1*27.2 см		3 года	производителем	50-100 *С	1		Да	Да	включения, уровня воды, температуры	7	2	1.5		алюминий		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	красный	отсутствует		отсутствует
	1.3		25.6*21.8*16.3 см		1 год	производителем	100-50 *С	0.7			Да	включения, уровня воды, температуры	7	2	1.7		сталь		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	красный	отсутствует		отсутствует
	1.379		24.2*21.6*21.8 см		1 год	производителем	40-100 *С	0.7				включения, уровня воды, температуры	7	1	1.7		стекло		Да	Да	Да				Да	2150		Да		Да		новый	Да	полностью съемная		Китай		диск	Да		серебристый металлик	7 вариантов	Да	отсутствует
	1.8		27.5*22.6*17.1 см		1 год	производителем	50 *С	1				включения, уровня воды, температуры	7		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		диск	Да		черный			
Да	2.98	новый	27.5*20*23.3 см		2 года	производителем	40-100 *С	1		Да	Да	включения, уровня воды, температуры	13	2	1.3	Да	нержавеющая сталь		Да	Да	Да		Да			2400	Да	Да	Да	Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	серый		Да	отсутствует
	1.09		23.5*22*13 см		1 год	производителем	0-100 *С	0.75				включения, уровня воды	1	2	1.8		пластик/ стекло		Да	Да			Да		Да	1500						новый		нажатие		Китай		диск			серый	голубой		отсутствует
	1.8		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь/ пластик		Да	Да	Да					2400		Да								Китай		ТЭН	Да		хромированный			
	0.97	новый	24*21*15 см		1 год	производителем	100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			1800						новый		кнопка на корпусе		Китай		ТЭН	Да		стальной			
	1.11		25.15*22*15 см		1 год	производителем	100-100 *С	1.2				включения	1	2	1.7		металл/ пластик		Да		Да		Да			1800						новый		кнопка на корпусе		Китай		диск			серый металлик			отсутствует
	2.1	новый	20.3*24.1*27.2 см		3 года	производителем	50-100 *С	1		Да	Да	включения, уровня воды, температуры	6	2	1.5		алюминий		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	серебряный медальон	отсутствует		отсутствует
	1.8		27.5*22.6*17.1 см		1 год	производителем	50 *С	1				включения, уровня воды, температуры	7		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		диск	Да		белый			
	1.09		23.5*22*13 см		1 год	производителем	1-100 *С	0.75				включения, уровня воды	1	2	1.8		пластик/ стекло		Да	Да			Да		Да	1500						новый		нажатие		Китай		диск			белый	голубой		отсутствует
