x,y
100,0.06339999999999996
200,0.08514999999999999
300,0.09166666666666662
400,0.09944999999999997
500,0.10376000000000002
600,0.10529999999999996
700,0.10504285714285716
800,0.10458750000000001
900,0.1059
1000,0.10695
