regularization_coef,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28
0.0001,-0.01625654261643744,0.17908215383075354,0.2735102758552502,0.19469166104627958,-0.08618915573874937,0.03473753913602042,-0.03632217093378978,-0.20532319841339372,0.26943527519414184,0.4237851798609797,-0.1262404602339207,-0.1421003933371473,-0.20814596412770503,-0.09729720443559378,0.0061330233366473355,-0.19825221332286996,-0.07017541546690005,0.055814244158173,-0.012975881677953827,-0.21895354656631447,-0.043474653794576004,-0.15490651568000793,0.017057686020285324,-0.029483119791725482,-0.01698436884413317,0.4970358143138594,0.3759048864541193,0.05739456500804438,-0.826372458318468
0.001,-0.009973810840291465,0.17489297374817603,0.2699519195725811,0.1902710653043607,-0.08297524401882601,0.03090646714871098,-0.030618381470145544,-0.2028300771848899,0.258329950330764,0.41684263743097216,-0.12457150156718774,-0.13810922914425888,-0.20385111573536072,-0.09440648216837576,0.0002026211878762844,-0.19634181315904428,-0.06689113139109076,0.046270365721771005,-0.007893979510285372,-0.21956130579735358,-0.036731144084353434,-0.1488744797937427,0.0182459284602348,-0.021263217538835383,-0.006608988425896661,0.49407315760176984,0.36723838983695767,0.0520129997303718,-0.8219380291799082
0.01,0.00027010362137908507,0.12815770778697166,0.22852600358369896,0.1441272434191753,-0.012362381102061362,-5.049906472648488E-05,-0.0008393200027955246,-0.15601192670227393,0.18743851809326487,0.3405767556929637,-0.09571221815481691,-0.11652048167735816,-0.1804715774580038,-0.06400006277574737,-0.0008465246652396446,-0.15151712937742923,-0.0001430536644033877,0.0007207456356576006,0.0007214411422115269,-0.1933780304552821,-0.001266248008731026,-0.0988929380331401,0.0007369081177386111,-0.0001941064021269321,0.0006008691647243239,0.4261131421320965,0.2915103488648833,0.0003171747232231134,-0.8253404076885347
0.1,0.002570465114562076,-0.0014862704030595393,0.00908518317783752,0.0082937579997243,0.004841998752585107,0.006197274897229831,0.005908999229182074,0.006123340995935107,0.011023577407281004,0.002725937469416285,-0.005561584327014278,-0.007179305402057858,-0.006745596004848883,0.002732185040505871,0.00736146855876711,0.0010335600433499063,-0.008742322847519737,-0.0031320205268509666,-0.0042902784418374935,0.002113692474560702,-0.010501885828039261,0.007133063540624101,-0.0038523463561464175,0.002300174192275295,-0.00228832051930402,0.013287996251477861,-0.0005185611984260315,0.004308807213904985,-0.5412000246925289
1,-0.02549138754490539,0.054010641627997,-0.03077761588820041,-0.018955257928129104,0.03498966202463753,0.10235359530241452,-0.08351842597355504,0.01016018939345946,-0.06665526126866453,0.05059639472001716,-0.0987881272827827,0.005129224208780814,-0.06615351437611904,-0.04978820319729667,-0.012946892945488259,0.08840400803238527,-0.0494372898208877,0.054229783465485126,-0.0346591369238,0.09281024589198131,0.01202288441101032,-0.09535210001722835,-0.03954868967998218,0.06079744208902363,-0.029041464215019977,0.0850413252003995,0.0562695500277407,0.06956025276128108,-0.08292903752708106
10,0.04611229218223489,0.5382982816872094,0.8235371372544268,0.7067063536117499,-0.24836587414239664,0.5572924331210122,0.03053356864333112,-0.8812393773442451,0.38141372827415365,0.5021365382896952,-1.0003152096493109,0.8438721905087408,0.7827478011635305,-0.9559601216124531,-0.02185900454208578,-0.9523206905399989,-0.3473473632172681,0.06255871981290217,-0.04229832634716035,0.7344826486598837,-0.44321284224836033,-0.7654032856388527,-0.3318602349920401,-0.18253531593241712,-0.033835757563754565,0.728466701368914,0.4686937750389135,0.08713060451072907,-0.09718906683235551
100,-0.05416620138331929,0.6475700864603873,1.0476179758249309,0.735523131093947,0.014712414634598048,0.27020809558646164,0.1296071780079906,-1.8869372746574253,-0.014946542066631707,-0.10277830244383246,-2.477763634775,-2.8375588929922095,-2.891725219209855,-2.500462499282696,-0.034090215417668546,-2.371955253350963,-0.629583330701351,0.005416247756155457,-0.05495123994798412,-3.007155213384179,-1.2345148216630903,-1.766247192908029,-0.8393374264361153,-0.388520475974671,-0.042671839094609254,0.29521525402638105,0.37001460183612345,-0.010949286729408314,-3.345277426525481
