@RELATION teapots

@ATTRIBUTE AIHelper {true, false}
@ATTRIBUTE Weight NUMERIC
@ATTRIBUTE IsNew {true, false}
@ATTRIBUTE Width NUMERIC
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Height NUMERIC
@ATTRIBUTE Warranty {No, HalfYear, OneYear, OneAndHalfYear, TwoYears, ThreeYears}
@ATTRIBUTE WarrantyProvidedBySeller {true, false}
@ATTRIBUTE PowerCordLength STRING
@ATTRIBUTE TeaBrewing {true, false}
@ATTRIBUTE WaterFillingWithoutOpening {true, false}
@ATTRIBUTE SoundSignalOnBoil {true, false}
@ATTRIBUTE IndicationTemperature {true, false}
@ATTRIBUTE IndicationWaterLevel {true, false}
@ATTRIBUTE IndicationSwitchingOn {true, false}
@ATTRIBUTE HeatingModesCount NUMERIC
@ATTRIBUTE WallsCount NUMERIC
@ATTRIBUTE MaxVolume NUMERIC
@ATTRIBUTE BodyMaterial STRING
@ATTRIBUTE AutoShutOffNoWater {true, false}
@ATTRIBUTE AutoShutOffOnLift {true, false}
@ATTRIBUTE DelayedStart {true, false}
@ATTRIBUTE Country {Китай, Россия, Турция, США, Германия}
@ATTRIBUTE Functions STRING

@DATA
false,-0.03442184149109593,false,-0.7748350156935908,-0.027147586444502582,-1.2451701903962853,OneYear,false,?,false,false,false,false,true,true,?,?,-1.1783017979945327,'пластик',true,true,false,Китай,'?'
false,-0.031473878633503705,false,1.35226820085084,0.5591472331578267,0.91913647979527,OneYear,false,'0.8',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,-0.040317767206280365,true,-0.8161379907721233,0.6295026115101063,-0.21454796649554478,OneYear,false,'0.6',false,false,false,false,false,true,1,1,0.129382652254913,'пластик_металл',true,true,false,Китай,'?'
false,-0.031768674919262926,false,-1.2291677415574498,0.4418882692373608,-0.042777595845421366,OneYear,false,'0.75',false,false,false,false,true,true,1,2,0.129382652254913,'пластик_стекло',true,false,false,Китай,'?'
false,-0.02852591577591149,false,1.0837988628403779,-1.0824782617286952,1.2626772210955168,OneYear,false,'1.2',false,false,false,true,false,true,1,2,-0.00138579277003169,'пластик_металл',true,true,false,Китай,'поддержание_температуры'
false,-0.04120215606355803,true,-0.8161379907721233,-0.027147586444502582,-1.932251672996779,OneYear,false,'0.6',false,false,false,false,true,true,1,1,-0.9167649079446436,'пластик',true,false,false,Китай,'?'
false,-0.03442184149109593,true,-0.8161379907721233,0.4418882692373608,0.12899277480470206,OneYear,false,'0.65',false,false,false,false,true,true,1,2,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.031473878633503705,true,-1.0226528661647865,0.2073703413964291,1.1596149987054425,OneYear,false,'0.75',false,false,false,false,true,true,1,2,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.03736980434868815,true,-0.981349891086254,0.3949846836691746,0.30076314545482546,OneYear,false,'0.65',false,false,false,false,true,true,1,2,-0.26292268281992076,'пластик_сталь',true,true,false,Китай,'?'
false,0.011271582801583455,true,0.42295126158385576,5.83580060957879,0.8160742574051957,OneYear,false,'0.7',true,true,true,false,false,true,2,?,0.3909195423048021,'пластик_стекло',true,true,false,Китай,'поддержание_температуры_заваривание_чая'
false,-0.012312120059154288,true,-0.2998508022904654,0.2073703413964291,1.1596149987054425,OneYear,false,'0.7',true,true,true,true,true,true,5,1,-0.00138579277003169,'стекло',true,true,false,Китай,'поддержание_температуры_заваривание_чая'
false,-0.029027069461702165,false,1.0218444002225786,-0.5665388204786457,0.47253351610494887,TwoYears,false,?,false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.012164721916274681,true,1.6620405139398349,0.7936651609987584,-0.042777595845421366,ThreeYears,false,'1',false,false,false,false,false,true,1,?,0.3909195423048021,'металл',true,true,false,Турция,'?'
false,-0.03442184149109593,false,0.8359810123691821,0.6764061970782925,0.8160742574051957,OneYear,false,'0.7',false,false,false,false,true,true,1,?,-0.00138579277003169,'металл',true,true,false,Китай,'?'
false,-0.029292386118885468,false,0.7120720871335839,-1.199737225649161,0.06028462654465293,TwoYears,false,'0.75',false,false,false,false,true,true,1,1,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,-0.03589582291989204,true,-0.6922290655365255,0.3715328908850811,0.02593055241462776,OneYear,false,'0.65',false,false,false,false,true,true,1,?,-0.00138579277003169,'пластик_стекло',true,true,false,Китай,'?'
false,-0.02970510091894838,true,-0.9193954284684549,0.4418882692373608,-0.729859078445915,OneYear,false,'0.8',false,false,false,false,true,true,1,?,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,-0.03736980434868815,true,-0.7128805530757918,0.2073703413964291,-0.5580887077957917,OneYear,false,?,false,false,false,false,true,true,1,1,0.129382652254913,'пластик_стекло',true,true,false,Китай,'?'
false,-0.032947860062299814,false,-0.8161379907721233,0.6060508187260129,0.7130120350151214,OneYear,?,?,false,false,false,false,true,false,?,?,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,-0.03442184149109593,true,-0.19659336459413382,-0.7307013699672976,-1.5887109316965322,TwoYears,false,'0.9',false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'шумоподавление'
false,-0.03560102663413282,false,-1.1259103038611182,0.6764061970782925,0.47253351610494887,OneYear,false,'0.7',false,false,false,false,true,true,1,2,-0.00138579277003169,'пластик',true,true,false,Китай,'?'
false,-0.040317767206280365,false,-0.8161379907721233,-1.199737225649161,0.12899277480470206,OneYear,false,'0.75',false,false,false,false,true,true,1,1,0.129382652254913,'сталь',true,true,false,Китай,'?'
false,-0.03442184149109593,false,-0.4981050826674222,0.7350356790385254,0.21144255271676077,OneYear,true,'75',false,false,true,false,true,true,1,1,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,0.0009537128000107003,true,0.21643638619119257,0.6764061970782925,1.1596149987054425,TwoYears,false,'0.7',false,true,true,true,true,true,5,1,-0.00138579277003169,'пластик_металл',true,true,false,Китай,'поддержание_температуры'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,?,false,false,false,false,true,true,?,?,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.016734064345542612,true,0.691420599594318,-0.7072495771832041,0.33511721958485063,OneYear,false,'1',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик_сталь',true,true,false,Китай,'?'
false,-0.022629990060727054,true,0.5262086992801873,-1.316996189569627,1.6749261106558129,OneYear,false,'0.7',true,false,true,true,false,true,4,2,-0.1321542377949761,'пластик_сталь',true,true,false,Китай,'поддержание_температуры_заваривание_чая'
false,-0.02675713806135616,true,-0.19659336459413382,-0.49618344212636595,1.1596149987054425,TwoYears,false,'1',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Китай,'шумоподавление'
false,-0.045918896635705586,false,0.6294661369765189,-1.0355746761605091,-0.042777595845421366,OneYear,true,?,false,false,false,false,false,true,?,1,0.129382652254913,'сталь',true,true,false,Китай,'?'
false,-0.03088428606198526,true,0.6294661369765189,-0.9886710905923224,0.2664090713248003,OneYear,false,'0.8',false,false,false,false,true,true,1,1,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,-0.030589489776226046,true,-0.6302746029187264,0.7702133682146648,0.953490553925294,TwoYears,false,'0.75',false,false,false,false,true,true,1,1,0.129382652254913,'стекло_металл',true,true,false,Китай,'?'
false,-0.03442184149109593,true,-0.7748350156935908,-0.027147586444502582,-1.2451701903962853,OneYear,false,'1',false,false,false,false,true,true,1,1,-1.1783017979945327,'пластик',true,true,false,Китай,'?'
false,-0.0019942500575815206,true,1.7033434890183674,0.9343759177033177,-1.142107968006211,ThreeYears,false,'1',false,true,true,true,true,true,6,2,-0.26292268281992076,'алюминий',true,true,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.022629990060727054,false,-0.5683201403009277,0.3480810981009885,0.6099498126250471,OneYear,false,'1',true,false,true,true,true,true,7,1,-0.00138579277003169,'сталь',true,true,false,США,'шумоподавление_поддержание_температуры_заваривание_чая'
false,-0.03736980434868815,false,0.6294661369765189,-1.316996189569627,0.12899277480470206,OneYear,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик',true,true,false,Россия,'?'
false,-0.04344260783532812,true,0.5262086992801873,-0.9652192978082293,-0.729859078445915,OneYear,false,'0.7',false,false,false,false,false,true,1,2,0.129382652254913,'пластик_сталь',true,true,false,Китай,'?'
false,-0.04562410034994636,false,0.6294661369765189,-1.199737225649161,-0.14583981823549566,OneYear,true,'0.8',false,false,false,false,false,true,1,1,0.129382652254913,'пластик_сталь',true,true,false,Китай,'?'
false,-0.0019942500575815206,true,1.7033434890183674,0.9343759177033177,-1.142107968006211,ThreeYears,false,'1',false,true,true,true,true,true,7,2,-0.26292268281992076,'алюминий',true,true,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.010838138630358178,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,true,true,true,true,8,?,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.036455935862834556,true,-0.7128805530757918,0.488791854805547,0.8160742574051957,TwoYears,false,'0.75',false,true,false,false,true,true,1,1,-0.00138579277003169,'пластик_стекло',true,true,false,Китай,'?'
false,-0.022629990060727054,true,-0.6096231153794601,-0.9652192978082293,1.1596149987054425,TwoYears,false,'0.7',false,false,false,true,true,true,5,2,-0.00138579277003169,'пластик_металл',true,true,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.045329304064187136,false,0.6294661369765189,-1.316996189569627,-0.042777595845421366,OneYear,true,'0.8',false,false,false,false,false,true,1,1,0.129382652254913,'пластик_сталь',true,true,false,Китай,'?'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,?,false,false,false,false,true,true,?,?,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.04562410034994636,false,0.5468601868194539,-1.0824782617286952,-0.042777595845421366,OneYear,true,'0.8',false,false,false,false,false,true,1,1,0.129382652254913,'пластик_сталь',true,true,false,Китай,'?'
false,-0.0019942500575815206,true,1.7033434890183674,0.9343759177033177,-1.142107968006211,ThreeYears,false,'1',false,true,true,true,true,true,7,2,-0.26292268281992076,'алюминий',true,true,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.02557795291831927,false,-0.5476686527616611,0.3949846836691746,0.6786579608850974,OneYear,false,'0.7',false,false,true,true,true,true,7,2,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.023249062260821417,false,0.5881631618979865,0.3480810981009885,0.19770092306475118,OneYear,false,'0.7',false,false,false,true,true,true,7,1,-0.00138579277003169,'стекло',true,true,false,Китай,'?'
false,-0.010838138630358178,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,false,true,true,true,7,?,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
true,0.02394782308923,true,0.8979354749869812,-0.027147586444502582,1.331385369355566,TwoYears,false,'1',false,true,true,true,true,true,13,2,-0.5244595728698098,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.031768674919262926,false,-1.2291677415574498,0.4418882692373608,-0.042777595845421366,OneYear,false,'0.75',false,false,false,false,true,true,1,2,0.129382652254913,'пластик_стекло',true,false,false,Китай,'?'
false,-0.010838138630358178,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,true,true,true,true,8,?,-0.00138579277003169,'пластик_сталь',true,true,false,Китай,'?'
false,-0.035306230348373595,true,-0.8161379907721233,0.2073703413964291,0.12899277480470206,OneYear,false,'0.8',false,false,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.031179082347744483,false,-0.8161379907721233,0.4418882692373608,0.5240646272999855,OneYear,false,'1.2',false,false,false,false,false,true,1,2,-0.00138579277003169,'пластик_металл',false,true,false,Китай,'?'
false,-0.0019942500575815206,true,1.7033434890183674,0.9343759177033177,-1.142107968006211,ThreeYears,false,'1',false,true,true,true,true,true,6,2,-0.26292268281992076,'алюминий',true,true,false,Китай,'шумоподавление_поддержание_температуры'
false,-0.010838138630358178,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,false,true,true,true,7,?,-0.00138579277003169,'сталь',true,true,false,Китай,'?'
false,-0.031768674919262926,false,-1.2291677415574498,0.4418882692373608,-0.042777595845421366,OneYear,false,'0.75',false,false,false,false,true,true,1,2,0.129382652254913,'пластик_стекло',true,false,false,Китай,'?'
false,-0.03972817463476192,false,0.42295126158385576,-0.9652192978082293,-0.3863183371456682,OneYear,true,'0.75',true,false,false,false,true,true,1,1,0.129382652254913,'стекло',true,true,false,Китай,'заваривание_чая'
false,-0.031473878633503705,false,-0.6096231153794601,1.2861528094647152,-0.45502648540571733,OneYear,false,'0.7',false,false,true,true,true,true,4,2,-0.00138579277003169,'пластик',true,true,false,Китай,'поддержание_температуры'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,true,true,true,true,8,?,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.02705193434711538,true,-0.403108239986797,0.9578277104874103,0.30076314545482546,OneYear,false,'0.7',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик_стекло',true,true,false,Китай,'?'
false,-0.016734064345542612,true,-0.38245675244753036,0.5825990259419201,0.40382536784489975,OneYear,false,'1',false,false,false,false,true,true,1,?,-0.00138579277003169,'пластик_сталь',true,true,false,Китай,'?'
false,-0.016734064345542612,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,true,true,true,true,8,?,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.03442184149109593,true,0.7533750622121171,-0.2616655142854343,-0.5580887077957917,TwoYears,false,'0.7',false,true,false,false,true,true,1,1,-0.00138579277003169,'сталь',true,true,false,Китай,'шумоподавление'
false,-0.010838138630358178,false,-0.38245675244753036,0.5825990259419201,1.331385369355566,OneYear,false,'1',false,false,true,true,true,true,8,?,-0.00138579277003169,'сталь',true,true,false,Китай,'поддержание_температуры'
false,-0.022629990060727054,false,0.5262086992801873,0.32462930531689493,0.12899277480470206,TwoYears,false,'0.8',false,false,false,false,true,true,1,1,-0.00138579277003169,'пластик_стекло_металл',true,true,false,Китай,'?'
